Starting batch job

717it [08:48,  1.44s/it, bound: 0 | nc: 1 | ncall: 2099 | eff(%): 34.159 | loglstar:   -inf < 23.172 <    inf | logz: 18.743 +/-  0.089 | dlogz: 44.489 >  0.010]
718it [08:48,  1.10s/it, bound: 0 | nc: 1 | ncall: 2100 | eff(%): 34.190 | loglstar:   -inf < 23.231 <    inf | logz: 18.784 +/-  0.088 | dlogz: 44.448 >  0.010]Submitted batch job 37223294

719it [08:51,  1.76s/it, bound: 0 | nc: 10 | ncall: 2110 | eff(%): 34.076 | loglstar:   -inf < 23.250 <    inf | logz: 18.824 +/-  0.088 | dlogz: 44.406 >  0.010]Submitted batch job 37223300

720it [08:55,  2.31s/it, bound: 0 | nc: 11 | ncall: 2121 | eff(%): 33.946 | loglstar:   -inf < 23.251 <    inf | logz: 18.863 +/-  0.088 | dlogz: 44.364 >  0.010]Submitted batch job 37223308

721it [08:56,  1.92s/it, bound: 0 | nc: 3 | ncall: 2124 | eff(%): 33.945 | loglstar:   -inf < 23.317 <    inf | logz: 18.901 +/-  0.088 | dlogz: 44.323 >  0.010] 
722it [08:57,  1.64s/it, bound: 0 | nc: 3 | ncall: 2127 | eff(%): 33.945 | loglstar:   -inf < 23.326 <    inf | logz: 18.940 +/-  0.088 | dlogz: 44.282 >  0.010]
723it [08:58,  1.54s/it, bound: 0 | nc: 4 | ncall: 2131 | eff(%): 33.928 | loglstar:   -inf < 23.336 <    inf | logz: 18.977 +/-  0.087 | dlogz: 44.241 >  0.010]
724it [08:59,  1.47s/it, bound: 0 | nc: 4 | ncall: 2135 | eff(%): 33.911 | loglstar:   -inf < 23.349 <    inf | logz: 19.014 +/-  0.087 | dlogz: 44.202 >  0.010]Submitted batch job 37223309
Submitted batch job 37223311

725it [09:00,  1.33s/it, bound: 0 | nc: 3 | ncall: 2138 | eff(%): 33.910 | loglstar:   -inf < 23.529 <    inf | logz: 19.052 +/-  0.087 | dlogz: 44.164 >  0.010]
726it [09:01,  1.13s/it, bound: 0 | nc: 2 | ncall: 2140 | eff(%): 33.925 | loglstar:   -inf < 23.552 <    inf | logz: 19.093 +/-  0.087 | dlogz: 44.123 >  0.010]
727it [09:03,  1.48s/it, bound: 0 | nc: 7 | ncall: 2147 | eff(%): 33.861 | loglstar:   -inf < 23.554 <    inf | logz: 19.133 +/-  0.087 | dlogz: 44.080 >  0.010]
728it [09:04,  1.33s/it, bound: 0 | nc: 3 | ncall: 2150 | eff(%): 33.860 | loglstar:   -inf < 23.558 <    inf | logz: 19.171 +/-  0.087 | dlogz: 44.039 >  0.010]
729it [09:05,  1.03s/it, bound: 0 | nc: 1 | ncall: 2151 | eff(%): 33.891 | loglstar:   -inf < 23.559 <    inf | logz: 19.208 +/-  0.086 | dlogz: 43.998 >  0.010]
730it [09:08,  1.61s/it, bound: 0 | nc: 9 | ncall: 2160 | eff(%): 33.796 | loglstar:   -inf < 23.579 <    inf | logz: 19.244 +/-  0.086 | dlogz: 43.960 >  0.010]
731it [09:08,  1.23s/it, bound: 0 | nc: 1 | ncall: 2161 | eff(%): 33.827 | loglstar:   -inf < 23.597 <    inf | logz: 19.279 +/-  0.086 | dlogz: 43.922 >  0.010]
732it [09:11,  1.65s/it, bound: 0 | nc: 8 | ncall: 2169 | eff(%): 33.748 | loglstar:   -inf < 23.604 <    inf | logz: 19.313 +/-  0.086 | dlogz: 43.885 >  0.010]
733it [09:11,  1.25s/it, bound: 0 | nc: 1 | ncall: 2170 | eff(%): 33.779 | loglstar:   -inf < 23.638 <    inf | logz: 19.347 +/-  0.086 | dlogz: 43.848 >  0.010]
734it [09:12,  1.07s/it, bound: 0 | nc: 2 | ncall: 2172 | eff(%): 33.794 | loglstar:   -inf < 23.662 <    inf | logz: 19.380 +/-  0.086 | dlogz: 43.813 >  0.010]
735it [09:13,  1.15s/it, bound: 0 | nc: 4 | ncall: 2176 | eff(%): 33.778 | loglstar:   -inf < 23.735 <    inf | logz: 19.414 +/-  0.086 | dlogz: 43.777 >  0.010]
736it [09:14,  1.10s/it, bound: 0 | nc: 3 | ncall: 2179 | eff(%): 33.777 | loglstar:   -inf < 23.756 <    inf | logz: 19.449 +/-  0.085 | dlogz: 43.741 >  0.010]
737it [09:15,  1.16s/it, bound: 0 | nc: 4 | ncall: 2183 | eff(%): 33.761 | loglstar:   -inf < 23.768 <    inf | logz: 19.482 +/-  0.085 | dlogz: 43.705 >  0.010]
738it [09:16,  1.09it/s, bound: 0 | nc: 1 | ncall: 2184 | eff(%): 33.791 | loglstar:   -inf < 23.869 <    inf | logz: 19.517 +/-  0.085 | dlogz: 43.669 >  0.010]
739it [09:16,  1.35it/s, bound: 0 | nc: 1 | ncall: 2185 | eff(%): 33.822 | loglstar:   -inf < 23.912 <    inf | logz: 19.552 +/-  0.085 | dlogz: 43.633 >  0.010]
740it [09:17,  1.23it/s, bound: 0 | nc: 3 | ncall: 2188 | eff(%): 33.821 | loglstar:   -inf < 23.936 <    inf | logz: 19.588 +/-  0.085 | dlogz: 43.595 >  0.010]
741it [09:17,  1.49it/s, bound: 0 | nc: 1 | ncall: 2189 | eff(%): 33.851 | loglstar:   -inf < 23.993 <    inf | logz: 19.624 +/-  0.085 | dlogz: 43.557 >  0.010]
