Starting batch job
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
M_i<=-20.0
Pixels masked by MC but not already by selfunc: 2468
G20.5_zmin0.0zmax1.0_Lmax-20.0: 0.33              218365 vs 324336
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:288: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
74it [00:27,  2.36it/s, bound: 0 | nc: 1 | ncall: 582 | eff(%): 12.715 | loglstar:   -inf < -343.293 <    inf | logz: -349.385 +/-  0.105 | dlogz: 399.119 >  0.010]
75it [00:27,  2.52it/s, bound: 0 | nc: 1 | ncall: 583 | eff(%): 12.864 | loglstar:   -inf < -343.153 <    inf | logz: -348.787 +/-  0.102 | dlogz: 398.205 >  0.010]
76it [00:27,  2.65it/s, bound: 0 | nc: 1 | ncall: 584 | eff(%): 13.014 | loglstar:   -inf < -342.951 <    inf | logz: -348.359 +/-  0.100 | dlogz: 397.604 >  0.010]
77it [00:28,  2.75it/s, bound: 0 | nc: 1 | ncall: 585 | eff(%): 13.162 | loglstar:   -inf < -340.391 <    inf | logz: -347.060 +/-  0.107 | dlogz: 397.174 >  0.010]
78it [00:28,  2.83it/s, bound: 0 | nc: 1 | ncall: 586 | eff(%): 13.311 | loglstar:   -inf < -336.887 <    inf | logz: -343.878 +/-  0.116 | dlogz: 395.873 >  0.010]
79it [00:28,  2.88it/s, bound: 0 | nc: 1 | ncall: 587 | eff(%): 13.458 | loglstar:   -inf < -335.918 <    inf | logz: -342.402 +/-  0.109 | dlogz: 392.690 >  0.010]
80it [00:29,  2.92it/s, bound: 0 | nc: 1 | ncall: 588 | eff(%): 13.605 | loglstar:   -inf < -334.133 <    inf | logz: -340.817 +/-  0.110 | dlogz: 391.212 >  0.010]
81it [00:29,  2.95it/s, bound: 0 | nc: 1 | ncall: 589 | eff(%): 13.752 | loglstar:   -inf < -329.869 <    inf | logz: -336.904 +/-  0.117 | dlogz: 389.624 >  0.010]
82it [00:29,  2.96it/s, bound: 0 | nc: 1 | ncall: 590 | eff(%): 13.898 | loglstar:   -inf < -329.794 <    inf | logz: -335.804 +/-  0.109 | dlogz: 385.709 >  0.010]
83it [00:30,  2.97it/s, bound: 0 | nc: 1 | ncall: 591 | eff(%): 14.044 | loglstar:   -inf < -328.885 <    inf | logz: -335.015 +/-  0.105 | dlogz: 384.608 >  0.010]
84it [00:30,  2.97it/s, bound: 0 | nc: 1 | ncall: 592 | eff(%): 14.189 | loglstar:   -inf < -327.809 <    inf | logz: -334.088 +/-  0.104 | dlogz: 383.816 >  0.010]
85it [00:30,  2.97it/s, bound: 0 | nc: 1 | ncall: 593 | eff(%): 14.334 | loglstar:   -inf < -326.559 <    inf | logz: -332.983 +/-  0.105 | dlogz: 382.887 >  0.010]
86it [00:31,  2.98it/s, bound: 0 | nc: 1 | ncall: 594 | eff(%): 14.478 | loglstar:   -inf < -324.555 <    inf | logz: -331.302 +/-  0.110 | dlogz: 381.780 >  0.010]
87it [00:31,  2.98it/s, bound: 0 | nc: 1 | ncall: 595 | eff(%): 14.622 | loglstar:   -inf < -320.438 <    inf | logz: -327.481 +/-  0.117 | dlogz: 380.098 >  0.010]
88it [00:32,  2.98it/s, bound: 0 | nc: 1 | ncall: 596 | eff(%): 14.765 | loglstar:   -inf < -320.277 <    inf | logz: -326.353 +/-  0.109 | dlogz: 376.274 >  0.010]
89it [00:32,  2.98it/s, bound: 0 | nc: 1 | ncall: 597 | eff(%): 14.908 | loglstar:   -inf < -319.580 <    inf | logz: -325.613 +/-  0.105 | dlogz: 375.144 >  0.010]
