Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-26.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-26.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.05it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -2743.165 <    inf | logz: -2750.075 +/-  0.117 | dlogz:    inf >  0.010]
74it [00:26,  2.67it/s, bound: 0 | nc: 1 | ncall: 581 | eff(%): 12.737 | loglstar:   -inf < -124.327 <    inf | logz: -131.199 +/-  0.114 | dlogz: 148.570 >  0.010]
75it [00:26,  2.77it/s, bound: 0 | nc: 1 | ncall: 582 | eff(%): 12.887 | loglstar:   -inf < -123.188 <    inf | logz: -129.712 +/-  0.109 | dlogz: 146.119 >  0.010]
76it [00:27,  2.83it/s, bound: 0 | nc: 1 | ncall: 583 | eff(%): 13.036 | loglstar:   -inf < -119.378 <    inf | logz: -126.379 +/-  0.116 | dlogz: 144.629 >  0.010]
77it [00:27,  2.89it/s, bound: 0 | nc: 1 | ncall: 584 | eff(%): 13.185 | loglstar:   -inf < -116.960 <    inf | logz: -123.853 +/-  0.114 | dlogz: 141.295 >  0.010]
78it [00:27,  2.94it/s, bound: 0 | nc: 1 | ncall: 585 | eff(%): 13.333 | loglstar:   -inf < -115.763 <    inf | logz: -122.320 +/-  0.109 | dlogz: 138.766 >  0.010]
79it [00:28,  2.30it/s, bound: 0 | nc: 2 | ncall: 587 | eff(%): 13.458 | loglstar:   -inf < -114.581 <    inf | logz: -121.050 +/-  0.107 | dlogz: 137.231 >  0.010]
80it [00:28,  2.48it/s, bound: 0 | nc: 1 | ncall: 588 | eff(%): 13.605 | loglstar:   -inf < -113.638 <    inf | logz: -119.965 +/-  0.106 | dlogz: 135.959 >  0.010]
81it [00:29,  2.63it/s, bound: 0 | nc: 1 | ncall: 589 | eff(%): 13.752 | loglstar:   -inf < -109.241 <    inf | logz: -116.273 +/-  0.117 | dlogz: 134.872 >  0.010]
82it [00:29,  2.74it/s, bound: 0 | nc: 1 | ncall: 590 | eff(%): 13.898 | loglstar:   -inf < -108.494 <    inf | logz: -114.889 +/-  0.109 | dlogz: 131.178 >  0.010]
83it [00:29,  2.82it/s, bound: 0 | nc: 1 | ncall: 591 | eff(%): 14.044 | loglstar:   -inf < -107.566 <    inf | logz: -113.863 +/-  0.106 | dlogz: 129.793 >  0.010]
84it [00:30,  2.89it/s, bound: 0 | nc: 1 | ncall: 592 | eff(%): 14.189 | loglstar:   -inf < -107.065 <    inf | logz: -113.067 +/-  0.104 | dlogz: 128.764 >  0.010]
85it [00:30,  2.28it/s, bound: 0 | nc: 2 | ncall: 594 | eff(%): 14.310 | loglstar:   -inf < -104.831 <    inf | logz: -111.557 +/-  0.109 | dlogz: 127.966 >  0.010]
86it [00:31,  2.46it/s, bound: 0 | nc: 1 | ncall: 595 | eff(%): 14.454 | loglstar:   -inf < -103.466 <    inf | logz: -110.063 +/-  0.109 | dlogz: 126.454 >  0.010]
87it [00:31,  2.61it/s, bound: 0 | nc: 1 | ncall: 596 | eff(%): 14.597 | loglstar:   -inf < -99.852 <    inf | logz: -106.865 +/-  0.116 | dlogz: 124.959 >  0.010] 
88it [00:31,  2.73it/s, bound: 0 | nc: 1 | ncall: 597 | eff(%): 14.740 | loglstar:   -inf < -97.361 <    inf | logz: -104.286 +/-  0.114 | dlogz: 121.758 >  0.010]
89it [00:32,  2.82it/s, bound: 0 | nc: 1 | ncall: 598 | eff(%): 14.883 | loglstar:   -inf < -95.336 <    inf | logz: -102.169 +/-  0.113 | dlogz: 119.177 >  0.010]
90it [00:32,  2.88it/s, bound: 0 | nc: 1 | ncall: 599 | eff(%): 15.025 | loglstar:   -inf < -94.313 <    inf | logz: -100.800 +/-  0.109 | dlogz: 117.058 >  0.010]
